"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43"
"","","Population","Population","Population","Population","Répartition par âge en %","Répartition par âge en %","Répartition par âge en %","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Ménage","Ménage","Surface","Surface","Surface","Surface","Surface","Surface","Surface","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Constructions et logements","Constructions et logements","Protection sociale","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)"
"","","2017","2010-2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2004/09","2004/09","1979/85-2004/09","2004/09","1979/85-2004/09","2004/09","2004/09","2016p","2016p","2016p","2016p","2016p","2016p","2016p","2016p","2018","2016","2017","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015"
"Code commune","Commune","Habitants","Variation en %","Densité de la population par km²","Etrangers en %","0-19 ans","20-64 ans","65 ans ou plus","Taux brut de nuptialité","Taux brut de divortialité","Taux brut de natalité","Taux brut de mortalité","Ménages privés","Taille moyenne des ménages en personnes","Surface totale en km²","Surfaces d'habitat et d'infrastructure en %","Variation en ha","Surface agricole en %","Variation en ha","Surface boisée en %","Surface improductive en %","Emplois total","Secteur primaire","Secteur secondaire","Secteur tertiaire","Etablissements total","Secteur primaire","Secteur secondaire","Secteur tertiaire","Taux de logements vacants","Nouveaux logements construits pour 1000 habitants","Taux d'aide sociale","PLR 3)","PDC","PS","UDC","PEV/PCS","PVL","PBD","PST/Sol.","PES","Petits partis de droite"
"8","Maschwanden","641","4.058441558","136.673774","11.2324493","23.40093604","59.12636505","17.47269891","1.578531965","4.735595896","14.20678769","7.892659826","263","2.433460076","4.68","8.974358974","-5","59.61538462","0","23.71794872","7.692307692","165","49","46","70","65","19","7","39","1.993355482","0","X","4.8901371220999996","3.5023955064000001","22.7325293243","43.383446225","3.7336857756000001","4.8570956550000002","3.4528333058","0.64430860729999995","5.1709895918999997","2.1146538906000001"
"9","Mettmenstetten","4886","15.15437191","374.9808135","14.38804748","22.55423659","59.88538682","17.56037659","5.129783523","2.25710475","12.31148046","4.103826819","1958","2.463227783","13.07","15.93869732","65","64.21455939","-70","18.62068966","1.22605364","1606","146","521","939","319","47","55","217","1.630181649","15.84921825","1.2343139270000001","13.1847174589","3.6491554216000002","18.800282060299999","35.671015096600001","3.4680598737000001","9.6205006570999991","4.3527036123","0.1330170839","5.0594570339000002","3.5690246482000001"
"10","Obfelden","5356","14.29790866","710.3448276","20.48170276","23.07692308","60.21284541","16.71023152","4.577095452","2.097835415","8.772766282","4.767807762","2214","2.403342367","7.56","24.2384106","44","49.27152318","-44","21.32450331","5.165562914","1210","58","300","852","311","17","70","224","4.244897959","22.75903374","2.7090235819999999","14.413031821500001","6.4881755820000002","16.922138194999999","36.174028807600003","4.7926335447000001","7.3886433814999997","4.3581162288000002","8.6903463200000003E-2","3.7054157499000002","2.9824528964999999"
"11","Ottenbach","2569","6.597510373","511.752988","12.49513429","20.31919035","59.63409887","20.04671078","5.813953488","0.387596899","5.813953488","5.426356589","1099","2.326660601","5.01","20.88353414","20","55.22088353","-19","19.87951807","4.016064257","695","34","225","436","168","14","31","123","1.506276151","1.55702608","0.84909301400000003","16.838342902200001","4.1343014747","18.608578182999999","34.889676911000002","2.0995159292999999","8.2179443881999994","4.9082517167999997","0.1660475065","4.8153776876999999","2.1558032196000001"
"12","Rifferswil","1103","22.55555556","169.4316436","9.700815957","27.7425204","56.30099728","15.95648232","3.668042183","1.834021091","5.502063274","3.668042183","435","2.526436782","6.58","10.3500761","10","64.84018265","-10","22.67884323","2.130898021","243","47","77","119","88","17","18","53","0","33.11258278","1.113172542","9.3218119927000007","1.7216548835000001","21.1311861744","30.518460329900002","7.3972244043000002","9.0206860434999996","3.5676878764","0.24875621889999999","10.7685257921","3.1094527363000002"
"13","Stallikon","3717","17.58937045","309.234609","21.95318805","20.79634114","62.90018832","16.30347054","3.53116936","2.716284123","13.03816379","4.346054597","1540","2.405844156","12.02","11.07410491","45","38.05162365","-41","49.79184013","1.082431307","810","43","172","595","184","16","26","142","2.513464991","35.02170767","0.850246846","18.813495547500001","3.4616831807000001","17.619465696700001","40.461557757400001","1.6831807350000001","6.6374012291","4.0662235042999999","0.23579581090000001","3.9934779882","0.55186253610000002"
"14","Wettswil am Albis","5112","13.14741036","1355.96817","15.70813772","23.20031299","56.90532081","19.8943662","3.90815828","2.149487054","11.52906693","7.816316561","2122","2.395852969","3.75","40.84880637","54","33.95225464","-52","20.95490716","4.24403183","1217","15","447","755","287","8","41","238","0.312082033","23.37398374","1.307827445","24.847733266399999","4.5036418434999996","14.3868516891","32.089036795200002","2.2369082003999998","9.2333291472999992","4.0813763656999997","7.3778726599999997E-2","4.6072460128000001","1.3295868391000001"
"21","Adlikon","665","15.25129983","101.0638298","9.77443609","21.35338346","61.95488722","16.69172932","4.507888805","4.507888805","22.53944403","4.507888805","265","2.475471698","6.62","10.9939759","10","63.70481928","-12","22.74096386","2.560240964","145","48","21","76","64","22","7","35","0.355871886","0","1.2012012009999999","7.3926283734","0.86107319120000003","8.3167069200999997","56.820329727999997","4.7254016591000001","3.9168329308000001","6.6260632154000003","3.1502677700000002E-2","3.8328257901999998","5.9750078757000002"
"22","Benken (ZH)","858","7.518796993","151.590106","13.17016317","21.21212121","64.33566434","14.45221445","1.166180758","1.166180758","8.163265306","11.66180758","363","2.344352617","5.67","8.11287478","6","57.67195767","-9","33.86243386","0.352733686","258","96","45","117","74","21","11","42","1.262626263","2.325581395","1.1668611440000001","10.857797210099999","1.5927545284","11.940453883","43.805954611700002","1.4053716427","3.8413491568000002","9.6293982926999995","5.2050801600000002E-2","9.4420154069999995","6.0274828231999997"
"23","Berg am Irchel","564","-5.843071786","80.45649073","10.46099291","14.18439716","60.81560284","25","3.536693192","0","12.37842617","8.84173298","255","2.207843137","7.04","4.957507082","6","48.15864023","-9","45.32577904","1.558073654","143","44","30","69","53","18","10","25","0.722021661","0","X","10.585317460300001","2.8769841270000001","7.6686507937000004","50.148809523799997","3.1845238094999999","7.9067460317","8.2341269840999995","4.9603174600000001E-2","4.2162698412999999","1.9642857143000001"
"24","Buch am Irchel","971","11.86635945","95.10284035","8.032955716","24.81977343","61.68898043","13.49124614","4.149377593","1.037344398","15.56016598","2.074688797","371","2.603773585","10.16","6.818181818","10","55.03952569","-9","38.14229249","0","195","71","36","88","73","24","8","41","0.982800983","1.035196687","X","12.908901863600001","1.9995201151999999","7.5421898744","51.419659281800001","1.5116372070999999","9.5177157482000005","7.4142205871","0","2.2794529312999998","4.6148924257999999"
"25","Dachsen","1936","-0.154718927","717.037037","14.20454545","22.2107438","58.3677686","19.4214876","5.592272496","3.050330453","5.592272496","5.592272496","775","2.467096774","2.65","31.59851301","17","48.32713755","-17","13.01115242","7.063197026","384","21","159","204","106","7","26","73","3.045066992","0","0.95095095100000004","12.091106290700001","5.1670281995999998","19.791757049899999","32.060737527100002","4.5856832972000001","8.8459869847999997","5.7527114966999999","0.17353579180000001","6.9370932754999997","2.5900216920000001"
"26","Dorf","687","8.702531646","123.5611511","9.898107715","22.41630277","63.02765648","14.55604076","0","3.039513678","10.63829787","6.079027356","261","2.609195402","5.54","12.45487365","52","46.3898917","-53","40.97472924","0.180505415","170","43","15","112","52","13","5","34","2.787456446","6.41025641","X","10.474650652499999","1.9748238827","10.520845363199999","49.151172190799997","2.2404434692000001","3.2220810716999999","5.4509758633000001","5.7743388399999998E-2","2.6215498325","11.3869961889"
"27","Feuerthalen","3641","4.326647565","1468.145161","22.98819006","20.65366658","62.86734414","16.47898929","6.079867348","1.934503247","9.948873843","9.672516236","1615","2.221671827","2.5","42.8","14","11.2","-16","44","2","1050","5","220","825","187","X","32","154","1.957494407","3.644519204","4.060066741","10.621146037000001","3.7028124529999999","23.2726725823","36.588960745999998","2.3943450142999998","6.1182132651999996","5.0864791697999996","4.2111595699999997E-2","5.7121371634999996","2.3582493607999999"
"28","Flaach","1390","13.28443358","136.6764995","14.46043165","21.8705036","61.8705036","16.25899281","5.813953488","0","15.26162791","6.540697674","582","2.369415808","10.19","8.431372549","11","50.88235294","-16","33.7254902","6.960784314","773","131","137","505","147","28","25","94","3.560371517","1.471670346","0.44052863399999997","10.997373921399999","1.2165710917000001","11.0616860496","50.951283562900002","6.0935741465","3.7890562194999999","5.3968594243999997","2.1437376099999999E-2","3.2316844418000001","5.6273112170999999"
"29","Flurlingen","1440","0.840336135","597.5103734","14.02777778","21.52777778","60.90277778","17.56944444","6.958942241","0.695894224","10.43841336","6.263048017","612","2.33496732","2.4","22.91666667","14","17.08333333","-16","56.66666667","3.333333333","429","11","108","310","113","5","19","89","0.601503759","2.086230876","0.76708507699999995","16.930242634300001","4.2244367418","21.956239168100002","28.0491767764","1.9009965338000001","9.0337954938999996","5.0801559791999997","2.7079722699999999E-2","6.4612218371000001","1.6951906412"
"30","Andelfingen","2208","18.70967742","327.5964392","13.45108696","23.50543478","57.97101449","18.52355072","4.061371841","1.353790614","9.025270758","11.28158845","921","2.376764387","6.7","15.8445441","18","46.03886398","-15","32.88490284","5.231689088","1449","42","622","785","198","15","36","147","1.18694362","3.686635945","1.7985611509999999","16.4331862087","2.3252094927","11.773172135899999","34.091345231200002","7.6472845903","10.4010746498","5.3860423463","2.5586899499999999E-2","6.7197594830999998","2.8209556707000001"
"31","Henggart","2268","2.485314053","748.5148515","9.920634921","23.58906526","57.23104056","19.17989418","3.99113082","2.2172949","6.651884701","4.878048781","909","2.485148515","3.04","22.87581699","28","56.20915033","-32","19.93464052","0.980392157","578","29","293","256","117","13","16","88","0.31282586","0","1.6057091880000001","13.4955398536","2.2092911723999999","15.410685168000001","37.775362087200001","7.0467116410999999","8.5494133069","4.7766729546000004","2.55779007E-2","4.9493237842999998","4.2651149407000002"
"32","Humlikon","486","6.345733042","132.0652174","7.407407407","23.66255144","54.73251029","21.60493827","0","0","2.036659878","6.109979633","180","2.677777778","3.68","9.510869565","11","62.5","-10","27.7173913","0.27173913","150","21","8","121","35","8","6","21","1.030927835","1.984126984","X","15.029761904800001","1.7708333332999999","9.3601190475999996","50.014880952399999","2.8720238094999999","7.5446428571000004","4.3154761905000001","2.9761904799999999E-2","2.7678571429000001","4.7767857142999999"
"33","Kleinandelfingen","2076","-0.431654676","201.7492711","12.47591522","21.82080925","60.9344894","17.24470135","6.275645667","1.930967898","10.13758146","5.310161719","869","2.375143843","10.29","13.21671526","26","50.14577259","-26","32.84742468","3.790087464","1034","55","424","555","193","25","35","133","1.603206413","3.842459174","1.9351717470000001","12.5887363938","1.5872438020999999","14.1869015982","42.633514143200003","3.2363755506","8.6570315629000003","6.6838982124999999","2.5483272099999999E-2","5.3878918052999998","3.1344424624"
"34","Laufen-Uhwiesen","1668","10.39046989","265.6050955","13.66906475","20.32374101","58.63309353","21.04316547","6.027727547","1.205545509","7.836045811","7.233273056","704","2.340909091","6.29","12.48","10","39.36","-10","44.64","3.52","457","59","181","217","92","20","20","52","2.069857697","0","1.636363636","16.708659947699999","3.8867114594999999","11.151549085499999","39.716312056699998","1.8010451661","7.1388577827999997","8.4266517357000001","0.1259798432","4.4139604329999997","3.9706980216000001"
"35","Marthalen","1957","1.346452615","138.4996461","10.98620337","19.16198263","62.54471129","18.29330608","7.188703466","1.540436457","7.702182285","7.702182285","844","2.291469194","14.15","11.80212014","34","47.20848057","-36","39.15194346","1.83745583","1123","95","288","740","201","33","49","119","0.548245614","7.157464213","0.72239422099999995","7.8040710638000004","2.0643026684999999","11.173847371100001","47.759476372000002","2.7440120836999999","7.0632237647","7.0560310723999997","7.1926921999999997E-3","8.0234481767000005","4.3983312954000002"
"37","Ossingen","1567","16.2462908","119.7097021","10.46585833","21.82514359","60.88066369","17.29419273","0.661594443","1.984783328","10.58551108","3.969566656","654","2.357798165","13.09","9.305873379","18","56.29290618","-20","29.29061785","5.110602593","401","78","40","283","102","28","13","61","3.606102635","12.6227209","2.0604395599999998","12.2929237521","2.7482172243999998","12.6549643445","44.0702139331","4.7394404827000001","7.7838727372000003","5.9736697751000003","3.2912781100000003E-2","5.2386176632000003","0.73505211189999997"
"38","Rheinau","1299","-0.230414747","145.4647256","20.09237875","17.85989222","62.97151655","19.16859122","2.306805075","2.306805075","6.920415225","10.76509035","586","2.172354949","8.93","11.64613662","16","26.31578947","-18","54.75923852","7.278835386","496","20","63","413","73","X","18","52","2.089552239","0","1.459293395","7.4216404466999997","7.4636723910000002","20.655698330700002","30.4791641648","2.5759577279000001","6.7070973939999998","8.6585805211999993","0.67251110839999995","9.5352467876000002","1.6752732076000001"
"39","Thalheim an der Thur","929","13.56968215","144.2546584","8.934337998","23.46609257","60.49515608","16.03875135","4.329004329","2.164502165","12.98701299","4.329004329","383","2.417754569","6.45","9.00621118","6","65.52795031","-6","21.42857143","4.037267081","260","45","70","145","72","18","6","48","1.71990172","19.91150442","1.9586507070000001","9.5230054875000008","0.31236808780000003","10.7387083157","53.989024905000001","2.6677923174","3.8750527648999999","8.9320388350000002","0","3.5542422963","3.1490080203000002"
"40","Trüllikon","1059","6.64652568","110.7740586","8.21529745","19.73559962","57.50708215","22.75731822","4.710315591","3.768252473","7.536504946","4.710315591","462","2.279220779","9.56","8.682008368","15","61.71548117","-18","29.28870293","0.313807531","317","97","89","131","95","33","15","47","2.161100197","1.97044335","X","7.7316735823","0.5739972337","14.18395574","50.027662517300001","1.5145228216","4.59197787","11.4177040111","6.9156293000000001E-3","5.5048409405000003","3.3195020746999999"
"41","Truttikon","478","0.631578947","108.3900227","5.857740586","24.47698745","58.36820084","17.15481172","8.447729673","0","4.223864836","2.111932418","185","2.556756757","4.4","6.320541761","2","64.78555305","-2","28.44243792","0.451467269","100","45","19","36","38","17","5","16","0.507614213","0","X","9.0010015022999994","1.2018027040999999","12.5938908363","40.260390585899998","4.1311967952000002","4.1437155733999997","6.1717576364999998","0.87631447169999999","6.0841261893","11.241862794199999"
"43","Volken","342","10.32258065","106.875","8.771929825","26.9005848","61.11111111","11.98830409","2.928257687","0","20.49780381","14.64128843","140","2.421428571","3.28","5.810397554","2","64.83180428","-2","29.35779817","0","106","31","16","59","30","12","X","14","3.333333333","0","X","14.0686061659","0.43421623970000001","7.6204950064999997","56.4481111594","5.2105948762000001","4.8632218844999997","4.2336083369999997","0","2.9309596179000001","2.7138514979999999"
"51","Bachenbülach","4114","5.894465895","954.5243619","24.96353913","20.95284395","58.82352941","20.22362664","5.365199366","1.707108889","9.023289843","5.609072064","1762","2.311577753","4.29","23.77622378","13","34.03263403","-12","39.16083916","3.03030303","1903","6","519","1378","263","X","47","213","1.081081081","3.470500744","4.3063371669999997","15.813470306499999","3.3416055867000001","16.583944133399999","35.421596352500003","5.1826628961000001","7.1766607028999996","4.6430426502","0.1211981301","3.6936572979000002","4.8536965429999999"
"52","Bassersdorf","11655","5.218019319","1290.697674","24.7018447","21.43286143","63.0973831","15.46975547","4.812857204","1.375102058","10.74298483","5.07068884","4896","2.356413399","8.99","30.70077864","52","37.59733037","-58","30.92324805","0.778642937","4427","39","926","3462","625","15","96","514","0.981335386","1.122625216","1.893939394","13.701792230300001","4.7728968005999999","17.872910912599998","37.106626615300002","2.8990182044999999","6.8866802410999997","5.3454428160000003","6.3504223499999998E-2","4.6519363748","3.9332298450000001"
"53","Bülach","19888","13.57432471","1236.047234","27.1621078","20.57019308","62.44469027","16.98511665","6.531810932","2.177270311","11.84840123","6.784981898","8598","2.27471505","16.06","29.9378882","78","30.68322981","-79","39.06832298","0.310559006","10432","99","2271","8062","1255","27","163","1065","2.132173544","8.147269633","2.32012646","13.1706507698","3.1785913223","19.687829621799999","35.495454922599997","5.7385306421999998","6.6973227300999998","3.7670218187","5.92578546E-2","5.6312739254000004","4.2884909394999999"
"54","Dietlikon","7702","9.047147105","1812.235294","24.43521163","20.11165931","59.86756687","20.02077383","5.500982318","1.964636542","10.34708579","5.631958088","3414","2.230814294","4.24","47.39336493","26","21.32701422","-30","30.56872038","0.710900474","6157","11","1478","4668","568","5","85","478","0.74875208","0.786885246","2.867336152","15.925097129399999","3.1218681786000002","20.827555909400001","31.997089551199998","2.0839911588","10.2854161804","5.9389629467000002","0.13865817329999999","4.4906028198000003","2.0798725991999998"
"55","Eglisau","5188","23.02584776","572.6269316","23.09175019","22.45566692","61.04471858","16.4996145","4.056011589","2.124577499","11.97489136","5.408015452","2105","2.445605701","9.1","17.40088106","16","34.14096916","-15","41.18942731","7.268722467","1558","75","417","1066","322","24","40","258","1.243339254","11.34328358","2.9030385139999999","14.0067760342","3.1669044223","19.657631954399999","31.8741084165","3.2043509272000001","9.9857346648000007","4.2796005706000004","0.1176890157","5.4350927246999996","4.8002853067000002"
"56","Embrach","9432","6.455981941","742.6771654","27.2158609","21.5648855","62.48939779","15.94571671","4.940658396","1.503678642","9.773911176","6.981365125","3887","2.400823257","12.72","20.32967033","41","32.65306122","-42","45.21193093","1.80533752","3466","69","706","2691","485","23","77","385","1.422137947","13.45880293","3.9939057569999998","11.7988209386","5.1389021871000002","16.352295887","40.916986964700001","2.8737911884999998","5.9869509909999996","4.4098537799999997","0.12994296189999999","3.7122652478","5.5943864640000003"
"57","Freienstein-Teufen","2376","3.574542284","282.8571429","14.35185185","20.07575758","62.45791246","17.46632997","2.96735905","2.543450615","6.782534972","4.662992794","977","2.400204708","8.34","9.723889556","14","38.65546218","-14","49.45978391","2.160864346","576","83","94","399","162","25","25","112","0.662878788","12.14750542","1.5798462849999999","9.1046990932000007","3.1063478978000001","15.9769167354","37.625721351999999","8.7485572959999995","6.8557295959999998","6.1632316569999999","6.9249793899999995E-2","5.8103874691000001","3.7295960428999999"
"58","Glattfelden","5190","21.8023938","421.9512195","24.39306358","21.77263969","64.33526012","13.89210019","5.458621698","2.144458524","13.45160347","4.288917048","2145","2.390675991","12.28","19.5775792","37","45.49147035","-37","31.92526401","3.005686434","1031","39","215","777","256","17","54","185","0.547829751","2.219979818","4.5373840989999996","7.7435355715999998","2.0047765581000001","16.5319432324","45.1246957241","3.9705139393","9.6564552426999999","4.4022413079999998","3.2149910400000002E-2","5.0130896064000003","3.4469296836000001"
"59","Hochfelden","1934","-3.106212425","313.452188","14.21923475","22.90589452","60.70320579","16.39089969","3.080082136","2.566735113","8.726899384","5.646817249","775","2.478709677","6.18","9.593495935","19","42.43902439","-20","44.87804878","3.089430894","420","25","222","173","98","10","22","66","1.050175029","0.501504514","1.580020387","7.9779492834000001","2.0330760749999999","17.314222712199999","49.146637265700001","4.3219404630999998","3.9823594267","3.8015435501999999","0.16758544650000001","3.4002205071999998","6.0463065050000004"
"60","Höri","2738","11.52749491","571.6075157","33.49159971","20.3798393","65.0109569","14.6092038","5.87803086","2.571638501","16.89933872","8.81704629","1085","2.478341014","4.77","19.07756813","12","58.90985325","-12","12.57861635","9.433962264","1209","31","578","600","189","11","56","122","0.769230769","0.378071834","3.141167775","7.8434675200999999","1.6338217955000001","10.4205266408","57.559934871700001","3.6494301274000001","5.9176913143999998","2.7398798494999999","5.6145079000000002E-3","2.6668912470000001","4.7554881814999996"
"61","Hüntwangen","1027","8.219178082","209.1649695","11.87925998","21.12950341","60.46738072","18.40311587","1.949317739","2.923976608","3.898635478","3.898635478","415","2.469879518","4.9","23.93509128","28","42.19066937","-31","32.04868154","1.825557809","330","45","84","201","88","12","15","61","1.342281879","0","1.756097561","12.4771929825","1.8385964911999999","16.308771929799999","46.070175438600003","2.3789473684","6.3929824561000004","5.5649122806999998","4.9122806999999998E-2","3.3122807017999998","2.7157894737000001"
"62","Kloten","19408","7.642817526","1007.161391","32.7854493","18.90972795","64.99381698","16.09645507","5.24757105","3.065412792","11.89795812","7.37777316","8810","2.172531215","19.33","43.31606218","161","29.94818653","-164","25.59585492","1.139896373","36675","52","4484","32139","1483","17","139","1327","0.869565217","13.65705615","5.0246253799999998","10.4478309284","5.1082783699999998","17.769956159100001","43.5293842811","3.0089005521000001","5.7327965487999997","4.7890109718999998","7.6312695200000003E-2","4.5437201659999999","2.4170878140999998"
"63","Lufingen","2381","35.13053348","459.6525097","20.11759765","23.47753045","65.64468711","10.87778244","3.920714441","1.742539752","10.89087345","4.791984317","937","2.53361793","5.18","15.22157996","22","47.59152216","-17","36.6088632","0.578034682","356","18","92","246","105","9","16","80","0.406504065","22.68339768","0.63348416299999999","16.866303073600001","3.1296192465999999","11.42769764","44.635302512899997","2.1764615934","7.3856975380999996","4.0012233038999998","1.52912993E-2","3.5017075283999999","4.7861766655000002"
"64","Nürensdorf","5611","8.320463321","558.8645418","16.5032971","19.17661736","60.34574942","20.47763322","3.924716796","2.140754616","10.16858443","6.065471412","2447","2.276256641","10.09","22.00198216","40","46.67988107","-39","31.31813677","0","1031","48","305","678","315","18","51","246","1.116243264","8.229700073","1.5","17.381719776200001","2.6818292386000002","11.457066407199999","46.217465336899998","2.5906105570000002","5.8775237168999999","5.2830819752","9.1218681999999992E-3","3.4146193139999999","3.2899537825"
"65","Oberembrach","1058","8.735868448","103.1189084","10.77504726","16.72967864","64.36672968","18.90359168","10.34320639","0","9.402914904","4.701457452","480","2.179166667","10.19","6.876227898","8","58.54616896","-8","34.28290766","0.294695481","274","79","34","161","92","33","10","49","0.391389433","0","0.74836295600000002","8.2691663877000003","2.9394040844","10.1238701038","52.3066622029","1.3458319383999999","4.1714094408999998","5.9122865751999996","0","3.3143622364000001","9.2400401741000007"
