Ortschaftsname;PLZ;Gemeindename;Kantonskürzel
Arisdorf;4422;Arisdorf;BL
Aristau;5628;Aristau;AG
Arlesheim;4144;Arlesheim;BL
Arnegg;9212;Gossau (SG);SG
Arnex-sur-Nyon;1277;Arnex-sur-Nyon;VD
Arnex-sur-Orbe;1321;Arnex-sur-Orbe;VD
Arni AG;8905;Arni (AG);AG
Arni BE;3508;Arni (BE);BE
Arogno;6822;Arogno;TI
Arolla;1986;Evolène;VS
Arosa;7050;Arosa;GR
Arosio;6939;Alto Malcantone;TI
Arth;6415;Arth;SZ
Arveyes;1884;Ollon;VD
Arvigo;6543;Calanca;GR
Arvillard (Salins);1991;Sion;VS
Arzier-Le Muids;1273;Arzier-Le Muids;VD
Arzo;6864;Mendrisio;TI
Ascharina;7245;St. Antönien;GR
Ascona;6612;Ascona;TI
Asp;5025;Densbüren;AG
Assens;1042;Assens;VD
Astano;6999;Astano;TI
Asuel;2954;La Baroche;JU
Athenaz (Avusy);1285;Avusy;GE
Attalens;1616;Attalens;FR
Attelwil;5056;Attelwil;AG
Attikon;8544;Wiesendangen;ZH
Attinghausen;6468;Attinghausen;UR
Attiswil;4536;Attiswil;BE
Au SG;9434;Au (SG);SG
Au TG;8376;Fischingen;TG
Au ZH;8804;Wädenswil;ZH
Aubonne;1170;Aubonne;VD
Auboranges;1673;Auboranges;FR
Auddes-sur-Riddes;1914;Riddes;VS
Auenstein;5105;Auenstein;AG
Augio;6547;Rossa;GR
Augst BL;4302;Augst;BL
Aumont;1484;Les Montets;FR
Auressio;6661;Isorno;TI
Aurigeno;6677;Maggia;TI
Auslikon;8331;Pfäffikon;ZH
Ausserberg;3938;Ausserberg;VS
Ausserbinn;3995;Ernen;VS
Ausserferrera;7444;Ferrera;GR
Auswil;4944;Auswil;BE
Autafond;1782;Autafond;FR
Autavaux;1475;Vernay;FR
Autigny;1742;Autigny;FR
Auvernier;2012;Milvignes;NE
Auw;5644;Auw;AG
Avegno;6670;Avegno Gordevio;TI
Aven;1976;Conthey;VS
Avenches;1580;Avenches;VD
Avry-devant-Pont;1644;Pont-en-Ogoz;FR
Avry-sur-Matran;1754;Avry;FR
Avully;1237;Avully;GE
Axalp;3855;Brienz (BE);BE
Ayer;3961;Anniviers;VS
Azmoos;9478;Wartau;SG
Aïre;1219;Vernier;GE
Baar;6340;Baar;ZG
Baar (Nendaz);1996;Nendaz;VS
Bachenbülach;8184;Bachenbülach;ZH
Bachs;8164;Bachs;ZH
Bad Ragaz;7310;Bad Ragaz;SG
Bad Ragaz;7310;Pfäfers;SG
Bad Zurzach;5330;Bad Zurzach;AG
Baden;5404;Baden;AG
Baden;5400;Baden;AG
Baldegg;6283;Hochdorf;LU
Baldingen;5333;Baldingen;AG
Balerna;6828;Balerna;TI
Balgach;9436;Balgach;SG
Ballaigues;1338;Ballaigues;VD
Ballens;1144;Ballens;VD
Ballmoos;3303;Jegenstorf;BE
Ballwil;6275;Ballwil;LU
Balm b. Günsberg;4525;Balm bei Günsberg;SO
Balm b. Messen;3254;Messen;SO
Balmberg;4524;Balm bei Günsberg;SO
Balsthal;4710;Balsthal;SO
Balterswil;8362;Bichelsee-Balterswil;TG
Baltschieder;3937;Baltschieder;VS
Baltschieder;3937;Baltschieder;VS
Balzers;9496;Balzers;LI
Banco;6981;Bedigliora;TI
Bangerten b. Dieterswil;3256;Bangerten;BE
Bannwil;4913;Bannwil;BE
Barbengo;6917;Lugano;TI
Barberêche;1783;Barberêche;FR
Bargen BE;3282;Bargen (BE);BE
Bargen SH;8233;Bargen (SH);SH
Barmelweid;5017;Erlinsbach (AG);AG
Barzheim;8241;Thayngen;SH
Basadingen;8254;Basadingen-Schlattingen;TG
Basel;4051;Basel;BS
Basel;4055;Basel;BS
Basel;4052;Basel;BS
Basel;4054;Basel;BS
Basel;4001;Basel;BS
Basel;4059;Basel;BS
Basel;4053;Basel;BS
Basel;4058;Basel;BS
Basel;4057;Basel;BS
Basel;4056;Basel;BS
Basel;4052;Basel;BS
Basse-Nendaz;1996;Nendaz;VS
Bassecourt;2854;Haute-Sorne;JU
Bassersdorf;8303;Bassersdorf;ZH
Bassins;1269;Bassins;VD
Bauen;6466;Bauen;UR
Baulmes;1446;Baulmes;VD
Bauma;8494;Bauma;ZH
Bavois;1372;Bavois;VD
Bazenheid;9602;Kirchberg (SG);SG
Beatenberg;3803;Beatenberg;BE
Beckenried;6375;Beckenried;NW
Bedano;6930;Bedano;TI
Bedigliora;6981;Bedigliora;TI
Bedigliora;6981;Bedigliora;TI
Bedretto;6781;Bedretto;TI
Beggingen;8228;Beggingen;SH
Begnins;1268;Begnins;VD
Beinwil (Freiamt);5637;Beinwil (Freiamt);AG
Beinwil SO;4229;Beinwil (SO);SO
Beinwil am See;5712;Beinwil am See;AG
Belalp;3914;Naters;VS
Belfaux;1782;Belfaux;FR
Bellach;4512;Bellach;SO
Bellelay;2713;Saicourt;BE
Bellerive VD;1585;Vully-les-Lacs;VD
Bellevue;1293;Bellevue;GE
Bellikon;5454;Bellikon;AG
Bellinzona;6503;Bellinzona;TI
Bellinzona;6500;Bellinzona;TI
Bellmund;2564;Bellmund;BE
Bellwald;3997;Bellwald;VS
Belmont-sur-Lausanne;1092;Belmont-sur-Lausanne;VD
Belmont-sur-Yverdon;1432;Belmont-sur-Yverdon;VD
Belp;3123;Belp;BE
Belpberg;3124;Belp;BE
Belprahon;2744;Belprahon;BE
Benglen;8121;Fällanden;ZH
Benken SG;8717;Benken (SG);SG
Benken ZH;8463;Benken (ZH);ZH
Bennau;8836;Einsiedeln;SZ
Bennwil;4431;Bennwil;BL
Benzenschwil;5636;Merenschwand;AG
Bercher;1038;Bercher;VD
Berg (Dägerlen);8471;Dägerlen;ZH
Berg SG;9305;Berg (SG);SG
Berg TG;8572;Berg (TG);TG
Berg TG;8572;Berg (TG);TG
Berg am Irchel;8415;Berg am Irchel;ZH
Bergdietikon;8962;Bergdietikon;AG
Bergün/Bravuogn;7482;Bergün/Bravuogn;GR
Berikon;8965;Berikon;AG
Beringen;8222;Beringen;SH
Berken;3376;Berken;BE
Berlens;1680;Mézières (FR);FR
Berlingen;8267;Berlingen;TG
Bern;3011;Bern;BE
Bern;3011;Bern;BE
Bern;3018;Bern;BE
Bern;3015;Bern;BE
Bern;3005;Bern;BE
Bern;3006;Bern;BE
Bern;3008;Bern;BE
Bern;3014;Bern;BE
Bern;3013;Bern;BE
Bern;3010;Bern;BE
Bern;3004;Bern;BE
Bern;3012;Bern;BE
Bern;3020;Bern;BE
Bern;3007;Bern;BE
Bern;3027;Bern;BE
Bern;3019;Bern;BE
Berneck;9442;Berneck;SG
Bernex;1233;Bernex;GE
Bernhardzell;9304;Waldkirch;SG
Berolle;1149;Berolle;VD
Beromünster;6215;Beromünster;LU
Berschis;8892;Walenstadt;SG
Bertschikon;8543;Wiesendangen;ZH
Bertschikon (Gossau ZH);8614;Gossau (ZH);ZH
Berzona;6661;Isorno;TI
Besazio;6863;Mendrisio;TI
Besenbüren;5627;Besenbüren;AG
Besencens;1609;Saint-Martin (FR);FR
Betschwanden;8777;Glarus Süd;GL
Betten;3991;Bettmeralp;VS
Bettenhausen;3366;Bettenhausen;BE
Bettens;1042;Bettens;VD
Bettingen;4126;Bettingen;BS
Bettlach;2544;Bettlach;SO
Bettmeralp;3992;Bettmeralp;VS
Bettwiesen;9553;Bettwiesen;TG
Bettwil;5618;Bettwil;AG
Beurnevésin;2935;Beurnevésin;JU
Beuson (Nendaz);1996;Nendaz;VS
Bevaix;2022;Bevaix;NE
Bever;7502;Bever;GR
Bever;7502;Bever;GR
Bex;1880;Bex;VD
Biasca;6710;Biasca;TI
Biberen;3206;Ferenbalm;BE
Biberist;4562;Biberist;SO
Bibern SH;8242;Thayngen;SH
Bibern SO;4578;Buchegg;SO
Biberstein;5023;Biberstein;AG
Bichelsee;8363;Bichelsee-Balterswil;TG
Bichwil;9248;Oberuzwil;SG
Bidogno;6958;Capriasca;TI
Biel VS;3989;Grafschaft;VS
Biel-Benken BL;4105;Biel-Benken;BL
Biel/Bienne;2503;Biel/Bienne;BE
Biel/Bienne;2504;Biel/Bienne;BE
Biel/Bienne;2502;Biel/Bienne;BE
Biel/Bienne;2505;Biel/Bienne;BE
Bielersee;9999;Bielersee (BE);BE
Biembach im Emmental;3419;Hasle bei Burgdorf;BE
Biessenhofen;8580;Amriswil;TG
Bieudron (Nendaz);1996;Nendaz;VS
Biezwil;4585;Biezwil;SO
Bigenthal;3513;Walkringen;BE
Biglen;3507;Biglen;BE
Bignasco;6676;Cevio;TI
Bigorio;6954;Capriasca;TI
Billens;1681;Billens-Hennens;FR
Bilten;8865;Glarus Nord;GL
Binn;3996;Binn;VS
Binningen;4102;Binningen;BL
Binz;8122;Maur;ZH
Bioggio;6934;Bioggio;TI
Biogno-Beride;6981;Croglio;TI
Bioley-Magnoux;1407;Bioley-Magnoux;VD
Bioley-Orjulaz;1042;Bioley-Orjulaz;VD
Bionnens;1670;Ursy;FR
Birgisch;3903;Naters;VS
Birmensdorf ZH;8903;Birmensdorf (ZH);ZH
Birmenstorf AG;5413;Birmenstorf (AG);AG
Bironico;6804;Monteceneri;TI
Birr;5242;Birr;AG
Birrhard;5244;Birrhard;AG
Birrwil;5708;Birrwil;AG
Birsfelden;4127;Birsfelden;BL
Birwinken;8585;Birwinken;TG
Bischofszell;9220;Bischofszell;TG
Bisisthal;6436;Muotathal;SZ
Bissone;6816;Bissone;TI
Bister;3983;Bister;VS
Bitsch;3982;Bitsch;VS
Bivio;7457;Bivio;GR
Bière;1145;Bière;VD
Blankenburg;3771;Zweisimmen;BE
Blatten (Lötschen);3919;Blatten;VS
Blatten b. Naters;3914;Naters;VS
Blauen;4223;Blauen;BL
Blausee-Mitholz;3717;Kandergrund;BE
Bleienbach;3368;Bleienbach;BE
Bleiken b. Oberdiessbach;3674;Oberdiessbach;BE
Blessens;1675;Rue;FR
Blignou (Ayent);1966;Ayent;VS
Blitzingen;3989;Blitzingen;VS
Blonay;1807;Blonay;VD
Blumenstein;3638;Blumenstein;BE
Bodio TI;6743;Bodio;TI
Bofflens;1353;Bofflens;VD
Bogis-Bossey;1279;Bogis-Bossey;VD
Bogno;6951;Lugano;TI
Bolken;4556;Bolken;SO
Boll;3067;Vechigen;BE
Bolligen;3065;Bolligen;BE
Bollingen;8715;Rapperswil-Jona;SG
Bollion;1470;Lully (FR);FR
Bollodingen;3366;Bettenhausen;BE
Boltigen;3766;Boltigen;BE
Bombinasco;6981;Curio;TI
Bonaduz;7402;Bonaduz;GR
Bonau;8554;Wigoltingen;TG
Boncourt;2926;Boncourt;JU
Bonfol;2944;Bonfol;JU
Boningen;4618;Boningen;SO
Boniswil;5706;Boniswil;AG
Bonnefontaine;1724;Le Mouret;FR
Bonstetten;8906;Bonstetten;ZH
Bonvillars;1427;Bonvillars;VD
Boppelsen;8113;Boppelsen;ZH
Borex;1277;Borex;VD
Borgnone;6658;Centovalli;TI
Borgonovo;7604;Bregaglia;GR
Bosco Luganese;6935;Bioggio;TI
Bosco/Gurin;6685;Bosco/Gurin;TI
Bossonnens;1615;Bossonnens;FR
Boswil;5623;Boswil;AG
Bottens;1041;Bottens;VD
Bottenwil;4814;Bottenwil;AG
Botterens;1652;Botterens;FR
Bottighofen;8598;Bottighofen;TG
Bottmingen;4103;Bottmingen;BL
Botyre (Ayent);1966;Ayent;VS
Boudevilliers;2043;Val-de-Ruz;NE
Boudry;2017;Boudry;NE
Bougy-Villars;1172;Bougy-Villars;VD
Boulens;1063;Boulens;VD
Bouloz;1699;Le Flon;FR
Bourg-St-Pierre;1946;Bourg-Saint-Pierre;VS
Bourguillon;1722;Fribourg;FR
Bournens;1035;Bournens;VD
Bourrignon;2803;Bourrignon;JU
Boussens;1034;Boussens;VD
Bouveret;1897;Port-Valais;VS
Boveresse;2113;Val-de-Travers;NE
Bovernier;1932;Bovernier;VS
Bowil;3533;Bowil;BE
Boécourt;2856;Boécourt;JU
Braggio;6544;Calanca;GR
Brail;7527;Zernez;GR
Bramboden;6167;Romoos;LU
Bramois;1967;Sion;VS
Bratsch;3957;Gampel-Bratsch;VS
Braunau;9502;Braunau;TG
Braunwald;8784;Glarus Süd;GL
Breganzona;6932;Lugano;TI
Breil/Brigels;7165;Breil/Brigels;GR
Breitenbach;4226;Breitenbach;SO
Bremblens;1121;Bremblens;VD
Bremgarten AG;5620;Bremgarten (AG);AG
Bremgarten b. Bern;3047;Bremgarten bei Bern;BE
Brenles;1683;Brenles;VD
Breno;6937;Alto Malcantone;TI
Brent;1817;Montreux;VD
Brenzikofen;3671;Brenzikofen;BE
Bressaucourt;2904;Fontenais;JU
Bretigny-sur-Morrens;1053;Bretigny-sur-Morrens;VD
Bretonnières;1329;Bretonnières;VD
Bretzwil;4207;Bretzwil;BL
Brienz BE;3855;Brienz (BE);BE
Brienz/Brinzauls GR;7084;Albula/Alvra;GR
Brienzersee;9999;Brienzersee;BE
Brienzwiler;3856;Brienzwiler;BE
Brig;3900;Brig-Glis;VS
Brigerbad;3900;Brig-Glis;VS
Brignon (Nendaz);1996;Nendaz;VS
Brione (Verzasca);6634;Brione (Verzasca);TI
Brione sopra Minusio;6645;Brione sopra Minusio;TI
Brislach;4225;Brislach;BL
Brissago;6614;Brissago;TI
Bristen;6475;Silenen;UR
Brittern;4588;Buchegg;SO
Brittnau;4805;Brittnau;AG
Broc;1636;Broc;FR
Broglio;6693;Lavizzara;TI
Bronschhofen;9552;Wil (SG);SG
Brontallo;6692;Lavizzara;TI
Brot-Dessous;2149;Brot-Dessous;NE
Brot-Plamboz;2318;Brot-Plamboz;NE
Bruderholz;4101;Binningen;BL
Brugg AG;5200;Brugg;AG
Brunegg;5505;Brunegg;AG
Brunnadern;9125;Neckertal;SG
Brunnen;6440;Ingenbohl;SZ
Brunnenthal;3307;Messen;SO
Brusino Arsizio;6827;Brusino Arsizio;TI
Brusio;7743;Brusio;GR
Bruson;1934;Bagnes;VS
Bruzella;6837;Breggia;TI
Brè sopra Lugano;6979;Lugano;TI
Brügg BE;2555;Brügg;BE
Brügglen;4582;Buchegg;SO
Brülisau;9058;Rüte;AI
Brünig;3860;Meiringen;BE
Brünisried;1719;Brünisried;FR
Brüttelen;3237;Brüttelen;BE
Brütten;8311;Brütten;ZH
Brüttisellen;8306;Wangen-Brüttisellen;ZH
Bubendorf;4416;Bubendorf;BL
Bubikon;8608;Bubikon;ZH
Buch SH;8263;Buch (SH);SH
Buch am Irchel;8414;Buch am Irchel;ZH
Buch b. Frauenfeld;8524;Uesslingen-Buch;TG
Buch b. Kümmertshausen;8586;Birwinken;TG
Buch b. Märwil;9562;Affeltrangen;TG
Buchackern;8586;Erlen;TG
Buchberg;8454;Buchberg;SH
Buchen BE;3623;Horrenbach-Buchen;BE
Buchen im Prättigau;7223;Luzein;GR
Buchillon;1164;Buchillon;VD
Buchrain;6033;Buchrain;LU
Buchs AG;5033;Buchs (AG);AG
Buchs LU;6211;Dagmersellen;LU
Buchs SG;9470;Buchs (SG);SG
Buchs ZH;8107;Buchs (ZH);ZH
Buckten;4446;Buckten;BL
Buhwil;9215;Kradolf-Schönenberg;TG
Buix;2925;Basse-Allaine;JU
Bulle;1630;Bulle;FR
Bullet;1453;Bullet;VD
Buochs;6374;Buochs;NW
Buonas;6343;Risch;ZG
Bure;2915;Bure;JU
Burg AG;5736;Burg (AG);AG
Burg im Leimental;4117;Burg im Leimental;BL
Burgdorf;3400;Burgdorf;BE
Burgistein;3664;Burgistein;BE
Burglauenen;3816;Grindelwald;BE
Burgäschi;4556;Aeschi (SO);SO
Bursinel;1195;Bursinel;VD
Bursins;1183;Bursins;VD
Burtigny;1268;Burtigny;VD
Buseno;6542;Buseno;GR
Bussigny;1030;Bussigny;VD
Bussigny-sur-Oron;1608;Oron;VD
Bussnang;9565;Bussnang;TG
Busswil BE;3292;Lyss;BE
Busswil TG;8371;Sirnach;TG
Busswil b. Melchnau;4917;Busswil bei Melchnau;BE
Bussy FR;1541;Bussy (FR);FR
Bussy-Chardonney;1136;Bussy-Chardonney;VD
Bussy-sur-Moudon;1514;Bussy-sur-Moudon;VD
Buttes;2115;Val-de-Travers;NE
Buttikon SZ;8863;Schübelbach;SZ
Buttisholz;6018;Buttisholz;LU
Buttwil;5632;Buttwil;AG
Buus;4463;Buus;BL
Bäch SZ;8806;Freienbach;SZ
Bächli (Hemberg);9633;Hemberg;SG
Bänk (Dägerlen);8471;Dägerlen;ZH
Bärau;3552;Langnau im Emmental;BE
Bäretswil;8344;Bäretswil;ZH
Bäriswil BE;3323;Bäriswil;BE
Bärschwil;4252;Bärschwil;SO
Bätterkinden;3315;Bätterkinden;BE
Bätterkinden;3315;Bätterkinden;BE
Bättwil;4112;Bättwil;SO
Bévilard;2735;Valbirse;BE
Bôle;2014;Milvignes;NE
Böbikon;5334;Böbikon;AG
Böckten;4461;Böckten;BL
Bönigen b. Interlaken;3806;Bönigen;BE
Bösingen;3178;Bösingen;FR
Böttstein;5315;Böttstein;AG
Bözberg;5225;Bözberg;AG
Bözen;5076;Bözen;AG
Büchslen;3215;Murten;FR
Büetigen;3263;Büetigen;BE
Bühl b. Aarberg;3274;Bühl;BE
Bühler;9055;Bühler;AR
Bülach;8180;Bülach;ZH
Bünzen;5624;Bünzen;AG
Bürchen;3935;Bürchen;VS
Büren NW;6382;Oberdorf (NW);NW
Büren SO;4413;Büren (SO);SO
Büren an der Aare;3294;Büren an der Aare;BE
Büren zum Hof;3313;Fraubrunnen;BE
Bürgenstock;6363;Ennetbürgen;NW
Bürglen OW;6078;Lungern;OW
Bürglen TG;8575;Bürglen (TG);TG
Bürglen UR;6463;Bürglen (UR);UR
Büriswilen;9442;Oberegg;AI
Büron;6233;Büron;LU
Büsserach;4227;Büsserach;SO
Bütschwil;9606;Bütschwil-Ganterschwil;SG
Büttenhardt;8236;Büttenhardt;SH
Büttikon AG;5619;Büttikon;AG
Bützberg;4922;Thunstetten;BE
Cabbio;6838;Breggia;TI
Cademario;6936;Cademario;TI
Cadempino;6814;Cadempino;TI
Cadenazzo;6593;Cadenazzo;TI
Cadro;6965;Lugano;TI
Cagiallo;6955;Capriasca;TI
Cagiallo;6955;Capriasca;TI
Cagiallo;6955;Capriasca;TI
Calfreisen;7027;Arosa;GR
Calonico;6746;Faido;TI
Calpiogna;6760;Faido;TI
Cama;6557;Cama;GR
Camedo;6659;Centovalli;TI
Camignolo;6803;Monteceneri;TI
Camischolas;7187;Tujetsch;GR
Camorino;6528;Camorino;TI
Campascio;7748;Brusio;GR
Campello;6760;Faido;TI
Camperio;6718;Blenio;TI
Campo (Blenio);6720;Blenio;TI
Campo (Vallemaggia);6684;Campo (Vallemaggia);TI
Campocologno;7744;Brusio;GR
Campora;6875;Castel San Pietro;TI
Campsut-Cröt;7446;Avers;GR
Camuns;7113;Lumnezia;GR
Caneggio;6837;Breggia;TI
Canobbio;6952;Canobbio;TI
Capolago;6825;Castel San Pietro;TI
Capolago;6825;Mendrisio;TI
Carabbia;6913;Lugano;TI
Carabietta;6919;Collina d'Oro;TI
Carena;6584;Sant'Antonio;TI
Carona;6914;Lugano;TI
Carouge GE;1227;Carouge (GE);GE
Carrera;7122;Safiental;GR
Carrouge VD;1084;Carrouge (VD);VD
Cartigny;1236;Cartigny;GE
Carì;6760;Faido;TI
Casaccia;7602;Bregaglia;GR
Casima;6875;Castel San Pietro;TI
Caslano;6987;Caslano;TI
Cassina d'Agno;6990;Agno;TI
Castagnola;6976;Lugano;TI
Castaneda;6540;Castaneda;GR
Castasegna;7608;Bregaglia;GR
Castel San Pietro;6874;Castel San Pietro;TI
Castelrotto;6980;Croglio;TI
Castiel;7027;Arosa;GR
Castione;6532;Arbedo-Castione;TI
Castrisch;7126;Ilanz/Glion;GR
Castro;6723;Acquarossa;TI
Cauco;6546;Calanca;GR
Caux;1824;Montreux;VD
Cavagnago;6749;Faido;TI
Cavardiras;7182;Disentis/Mustér;GR
Cavergno;6690;Cevio;TI
Caviano;6578;Gambarogno;TI
Cavigliano;6654;Terre di Pedemonte;TI
Cazis;7408;Cazis;GR
Celerina/Schlarigna;7505;Celerina/Schlarigna;GR
Cerentino;6683;Cerentino;TI
Cerniat FR;1654;Val-de-Charmey;FR
Cerniaz VD;1682;Valbroye;VD
Cernier;2053;Val-de-Ruz;NE
Certara;6959;Lugano;TI
Cevio;6675;Cevio;TI
Chabrey;1589;Vully-les-Lacs;VD
Chailly-Montreux;1816;Montreux;VD
Chalais;3966;Chalais;VS
Cham;6330;Cham;ZG
Chamblon;1436;Chamblon;VD
Chambrelien;2019;Rochefort;NE
Chamby;1832;Montreux;VD
Chambésy;1292;Pregny-Chambésy;GE
Chamoille (Sembrancher);1933;Sembrancher;VS
Chamoson;1955;Chamoson;VS
Champ-du-Moulin;2149;Brot-Dessous;NE
Champagne;1424;Champagne;VD
Champex-Lac;1938;Orsières;VS
Champfèr;7512;Silvaplana;GR
Champlan (Grimisuat);1971;Grimisuat;VS
Champoussin;1873;Val-d'Illiez;VS
Champoz;2735;Champoz;BE
Champsec;1947;Bagnes;VS
Champtauroz;1537;Champtauroz;VD
Champvent;1443;Champvent;VD
Champzabé;3976;Chermignon;VS
Champéry;1874;Champéry;VS
Chancy;1284;Chancy;GE
Chandolin;3961;Anniviers;VS
Chandolin (Savièse);1965;Savièse;VS
Chandon;1773;Léchelles;FR
Chandonne (Liddes);1945;Liddes;VS
Chanéaz;1409;Montanaire;VD
Chapelle (Broye);1534;Cheiry;FR
Chapelle (Glâne);1608;Chapelle (Glâne);FR
Chapelle-sur-Moudon;1063;Montanaire;VD
Chardonne;1803;Chardonne;VD
Charmey (Gruyère);1637;Val-de-Charmey;FR
Charmoille;2947;La Baroche;JU
Charrat;1906;Charrat;VS
Chaumont;2067;Neuchâtel;NE
Chavannes-de-Bogis;1279;Chavannes-de-Bogis;VD
Chavannes-des-Bois;1290;Chavannes-des-Bois;VD
Chavannes-le-Chêne;1464;Chavannes-le-Chêne;VD
Chavannes-le-Veyron;1148;Chavannes-le-Veyron;VD
Chavannes-les-Forts;1676;Siviriez;FR
